clip_id,frame_idx,ts_offset,label,flow_magnitude,strip_diff_v1,strip_diff_v3
d003,108,1.800000,noise,0.930974,0.327117,1.998375
d003,120,2.000000,noise,0.422593,0.037853,0.379125
d003,132,2.200000,post_event,0.395704,0.023790,0.264375
d003,144,2.400000,post_event,0.666604,0.045010,0.604500
d003,156,2.600000,post_event,0.403381,0.028024,0.194312
d003,168,2.800000,post_event,0.377997,0.019456,0.256875
d003,180,3.000000,post_event,0.954721,0.036190,0.564125
d003,192,3.200000,post_event,0.402301,0.020111,0.292563
d003,204,3.400000,post_event,0.406139,0.004990,0.251188
d003,216,3.600000,post_event,0.428012,0.021623,0.220938
d003,228,3.800000,post_event,0.690225,0.016683,0.428125
d003,240,4.000000,post_event,0.424939,0.023589,0.245188
d003,252,4.200000,post_event,0.704550,0.478427,1.784938
d003,264,4.400000,post_event,0.697959,0.024244,0.387562
d003,276,4.600000,post_event,0.428826,0.048841,0.224562
d003,288,4.800000,real_delivery,0.438589,0.020060,0.172125
d003,300,5.000000,real_delivery,0.415791,0.018145,0.211562
d003,312,5.200000,real_delivery,0.719007,0.007208,0.316688
d003,324,5.400000,real_delivery,0.709504,0.008569,0.239625
d003,336,5.600000,real_delivery,0.435961,0.001613,0.210938
d003,348,5.800000,real_delivery,0.782649,0.027772,0.375125
d003,360,6.000000,real_delivery,0.465325,0.010232,0.201500
d003,372,6.200000,real_delivery,0.472274,0.004335,0.226875
d003,384,6.400000,real_delivery,0.471202,0.001764,0.275250
d003,396,6.600000,real_delivery,0.782960,0.020917,0.356875
d003,408,6.800000,real_delivery,0.794711,0.025605,0.431063
d003,420,7.000000,real_delivery,0.513692,0.013962,0.281750
d003,432,7.200000,real_delivery,0.860432,0.020766,0.393500
d003,444,7.400000,real_delivery,0.548631,0.010937,0.288687
d003,456,7.600000,real_delivery,0.531790,0.029687,0.241625
d003,468,7.800000,post_event,0.544275,0.069103,0.324813
d003,480,8.000000,post_event,1.290673,0.066583,0.594313
d003,492,8.200000,post_event,0.561783,0.005595,0.255125
d003,504,8.400000,post_event,0.551179,0.484425,1.567000
d003,516,8.600000,post_event,0.964140,0.015827,0.154062
d003,528,8.800000,post_event,0.618078,0.301008,1.431125
d003,540,9.000000,post_event,0.608473,0.079637,0.208750
d003,552,9.200000,post_event,1.382159,0.049647,0.303812
d003,564,9.400000,post_event,0.553994,0.015272,0.178875
d003,576,9.600000,post_event,0.600346,0.008669,0.161000
d003,588,9.800000,post_event,0.621167,0.015020,0.144187
d003,600,10.000000,post_event,1.126385,0.006855,0.229000
d003,612,10.200000,noise,0.635774,0.002671,0.138437
d003,624,10.400000,noise,1.124673,0.024395,0.168125
d003,636,10.600000,noise,2.693613,0.022278,0.201313
d004,12,0.200000,noise,0.194698,0.315323,0.268875
d004,24,0.400000,noise,0.271540,0.469002,0.363187
d004,36,0.600000,noise,0.138009,0.097480,0.152500
d004,48,0.800000,noise,0.354049,0.477873,0.473125
d004,60,1.000000,noise,0.222553,0.063861,0.207937
d004,72,1.200000,noise,0.140209,0.170716,0.162938
d004,84,1.400000,noise,0.204079,0.233569,0.218250
d004,96,1.600000,noise,0.089868,0.027319,0.103875
d004,108,1.800000,noise,0.101428,0.067893,0.121438
d004,120,2.000000,noise,0.130585,0.126714,0.193625
d004,132,2.200000,noise,0.155086,0.235433,0.238687
d004,144,2.400000,noise,0.331454,0.330645,0.644125
d004,156,2.600000,noise,0.395847,0.654385,0.651312
d004,168,2.800000,noise,0.168745,0.243397,0.368437
d004,180,3.000000,noise,0.006706,0.003075,0.019938
d004,192,3.200000,noise,0.547732,0.773589,1.115000
d004,204,3.400000,noise,0.363027,0.649597,0.869437
d004,216,3.600000,noise,0.184314,0.149446,0.348062
d004,228,3.800000,noise,0.174658,0.252571,0.645500
d004,240,4.000000,noise,0.262813,0.181452,0.665375
d004,252,4.200000,noise,0.306554,0.834274,1.610250
d004,264,4.400000,noise,0.156587,0.207560,0.351812
d004,276,4.600000,noise,0.290583,0.292944,0.513625
d004,288,4.800000,noise,0.226557,0.316835,0.488250
d004,300,5.000000,noise,0.262863,0.436391,0.712437
d004,312,5.200000,noise,0.209537,0.212954,0.450437
d004,324,5.400000,noise,0.197710,0.370514,0.455625
d004,336,5.600000,noise,0.175788,0.351058,0.461062
d004,348,5.800000,noise,0.107420,0.088004,0.221750
d004,360,6.000000,post_event,0.198151,0.164415,0.210250
d004,372,6.200000,post_event,0.425339,0.642843,1.091438
d004,384,6.400000,post_event,0.237455,0.191482,0.399062
d004,396,6.600000,post_event,0.221656,0.208871,0.573688
d004,408,6.800000,post_event,0.669010,0.865474,1.254250
d004,420,7.000000,post_event,0.013834,0.019002,0.038625
d004,432,7.200000,post_event,0.386832,0.309375,0.857125
d004,444,7.400000,post_event,0.162421,0.067692,0.269313
d004,456,7.600000,post_event,0.524101,0.657913,1.489062
d004,468,7.800000,post_event,0.338959,0.335887,0.586938
d004,480,8.000000,post_event,0.154410,0.040524,0.169250
d004,492,8.200000,post_event,0.539391,0.675857,1.380062
d004,504,8.400000,post_event,0.213493,0.480494,1.198937
d004,516,8.600000,real_delivery,0.314582,0.204183,0.404375
d004,528,8.800000,real_delivery,0.350008,0.439264,1.129312
d004,540,9.000000,real_delivery,0.338535,0.277218,0.714625
d004,552,9.200000,real_delivery,0.154289,0.130292,0.514875
d004,564,9.400000,real_delivery,0.356122,0.488861,0.888188
d004,576,9.600000,real_delivery,0.276409,0.121069,0.582125
d004,588,9.800000,real_delivery,0.237672,0.143750,0.508500
d004,600,10.000000,real_delivery,0.285594,0.283669,0.655312
d004,612,10.200000,real_delivery,0.487160,0.444304,1.884875
d004,624,10.400000,real_delivery,0.307409,0.155292,1.364250
d004,636,10.600000,real_delivery,0.296227,0.214113,1.895625
d004,648,10.800000,real_delivery,0.318762,0.460635,2.397187
d004,660,11.000000,real_delivery,0.416516,0.135232,3.021375
d004,672,11.200000,real_delivery,0.211773,0.096371,2.527938
d004,684,11.400000,real_delivery,0.683942,1.075252,9.826688
d004,696,11.600000,post_event,0.922561,0.826714,10.272500
d004,708,11.800000,post_event,0.019138,0.016179,0.089313
d004,720,12.000000,post_event,0.673401,0.343397,4.714500
d004,732,12.200000,post_event,0.428745,0.118498,1.267625
d004,744,12.400000,post_event,0.472963,0.148185,0.901062
d004,756,12.600000,post_event,1.046222,2.120060,8.325688
d004,768,12.800000,post_event,1.726672,11.336643,30.939750
d004,780,13.000000,post_event,1.115455,4.167792,28.279563
d004,792,13.200000,post_event,1.384655,3.212298,19.879062
d004,804,13.400000,post_event,5.048921,1.083669,5.370813
d004,816,13.600000,post_event,2.764115,0.808518,1.342750
d004,828,13.800000,post_event,5.485098,0.053478,0.282813
d004,840,14.000000,post_event,2.967205,0.023538,0.258625
d004,852,14.200000,noise,3.013035,0.032510,0.442688
d004,864,14.400000,noise,0.005819,0.009677,0.053125
d004,876,14.600000,noise,3.321250,0.040827,0.183688
d004,888,14.800000,noise,5.594864,0.019758,0.291687
d004,900,15.000000,noise,3.067946,0.017792,0.372375
d004,912,15.200000,noise,5.697001,0.021724,0.122375
d004,924,15.400000,noise,5.974499,0.015373,0.080187
d004,936,15.600000,noise,3.293285,0.020514,0.255625
d004,948,15.800000,noise,6.039895,0.014466,0.147500
d004,960,16.000000,noise,5.897070,0.016784,0.161250
d004,972,16.200000,noise,6.187164,0.030595,0.147125
d004,984,16.400000,noise,2.957735,0.014012,0.203187
d004,996,16.600000,noise,2.817963,0.528730,1.796750
d004,1008,16.800000,noise,5.784614,0.529083,1.947313
d004,1020,17.000000,noise,2.900245,0.078831,0.311500
d004,1032,17.200000,noise,0.006560,0.010685,0.038500
d004,1044,17.400000,noise,2.826164,0.065222,0.319688
d004,1056,17.600000,noise,5.979240,0.026915,0.114500
d004,1068,17.800000,noise,3.253182,0.026411,0.183250
d004,1080,18.000000,noise,5.725918,0.022278,0.082250
d004,1092,18.200000,noise,5.646252,0.007611,0.146500
d004,1104,18.400000,noise,2.734248,0.011190,0.148750
d004,1116,18.600000,noise,6.055140,0.005998,0.224500
d004,1128,18.800000,noise,5.944207,0.010534,0.083187
d004,1140,19.000000,noise,2.680511,0.004032,0.190125
