clip_id,label,ts_s,flow_magnitude,strip_diff_v1,strip_diff_v3
20260420_202239__d002,real_delivery,2.954117,8.520472,0.209381,28.532013
20260420_202239__d002,real_delivery,3.016970,7.136981,0.351386,22.857072
20260420_202239__d002,real_delivery,3.079824,4.721517,0.494358,17.280979
20260420_202239__d002,real_delivery,3.142678,5.424611,0.559840,19.620715
20260420_202239__d002,real_delivery,3.205531,11.377596,0.971470,28.386820
20260420_202239__d002,real_delivery,3.268385,9.915712,0.613838,30.575749
20260420_202239__d002,real_delivery,3.331238,7.699135,2.557946,60.789155
20260420_202239__d002,real_delivery,3.394092,4.875205,2.614442,41.559545
20260420_202239__d002,real_delivery,3.456945,1.278347,1.841231,54.735520
20260420_202239__d002,real_delivery,3.519799,0.215538,0.046663,17.159427
20260420_202239__d002,real_delivery,3.582652,0.155401,0.035300,11.761623
20260420_202239__d002,real_delivery,3.645506,0.016987,0.003707,0.046493
20260420_202239__d002,real_delivery,3.708360,0.029326,0.004110,0.343184
20260420_202239__d002,real_delivery,3.771213,0.036296,0.002780,0.439913
20260420_202239__d002,real_delivery,3.834067,0.035238,0.002942,0.474833
20260420_202239__d002,real_delivery,3.896920,0.030413,0.001652,0.336091
20260420_202239__d002,real_delivery,3.959774,0.212942,0.036227,0.994632
20260420_202239__d002,real_delivery,4.022627,0.321690,0.069270,1.085254
20260420_202239__d002,real_delivery,4.085481,0.791865,0.111944,1.278517
20260420_202239__d002,real_delivery,4.148334,0.559801,0.064434,0.968676
20260420_202239__d002,real_delivery,4.211188,1.111083,0.227515,2.848059
20260420_202239__d002,real_delivery,4.274041,0.558238,0.071889,1.035510
20260420_202239__d002,real_delivery,4.336895,0.927959,0.090990,1.246602
20260420_202239__d002,real_delivery,4.399749,1.602343,0.205754,2.844661
20260420_202239__d002,real_delivery,4.462602,0.713035,0.053594,0.896030
20260420_202239__d002,real_delivery,4.525456,0.670166,0.094818,1.361456
20260420_202239__d002,real_delivery,4.588309,0.520428,0.047147,0.754137
20260420_202239__d002,real_delivery,4.651163,0.677512,0.085308,1.392435
20260420_202239__d002,real_delivery,4.714016,0.202270,0.012855,0.441440
20260420_202239__d002,real_delivery,4.776870,0.309234,0.031190,0.648099
20260420_202239__d002,real_delivery,4.839723,0.330841,0.045172,0.867021
20260420_202239__d002,real_delivery,4.902577,0.561706,0.080190,1.332299
20260420_202239__d002,real_delivery,4.965431,0.564434,0.113838,1.478280
20260420_202239__d002,real_delivery,5.028284,0.648883,0.043762,0.661495
20260420_202239__d002,real_delivery,5.091138,0.561702,0.064031,0.928832
20260420_202239__d002,real_delivery,5.153991,0.334012,0.071003,0.822941
20260420_202239__d002,real_delivery,5.216845,1.185495,0.189394,2.098257
20260420_202239__d002,real_delivery,5.279698,0.234333,0.042553,0.577423
20260420_202239__d002,real_delivery,5.342552,0.587801,0.103482,1.931294
20260420_202239__d002,real_delivery,5.405405,0.424701,0.066288,0.940406
20260420_202239__d002,real_delivery,5.468259,0.350223,0.055609,0.888840
20260420_202239__d002,real_delivery,5.531113,0.390343,0.054844,0.853034
20260420_202239__d002,real_delivery,5.593966,0.377033,0.040337,0.612786
20260420_202239__d002,real_delivery,5.656820,0.697164,0.103683,1.361998
20260420_202239__d002,real_delivery,5.719673,0.315527,0.034655,0.601359
20260420_202239__d002,real_delivery,5.782527,0.428163,0.055408,0.750197
20260420_202239__d002,real_delivery,5.845380,0.314035,0.053151,0.855398
20260420_202239__d002,real_delivery,5.908234,0.334594,0.049847,0.881944
20260420_202239__d002,real_delivery,5.971087,0.291335,0.053272,0.818459
20260420_202239__d002,real_delivery,6.033941,0.732816,0.091917,1.645883
20260420_202239__d002,real_delivery,6.096794,0.760021,0.090184,1.199419
20260420_202239__d002,real_delivery,6.159648,0.438706,0.074911,0.890514
20260420_202239__d002,real_delivery,6.222502,0.765032,0.097236,1.214638
20260420_202239__d002,real_delivery,6.285355,0.622944,0.114805,1.312106
20260420_202239__d002,real_delivery,6.348209,0.386392,0.045374,0.650808
20260420_202239__d002,real_delivery,6.411062,0.455555,0.097074,1.281078
20260420_202239__d002,real_delivery,6.473916,0.289820,0.067456,0.911003
20260420_202239__d002,real_delivery,6.536769,0.269580,0.045334,0.669277
20260420_202239__d002,real_delivery,6.599623,0.366841,0.041344,0.623178
20260420_202239__d002,real_delivery,6.662476,0.296480,0.043480,0.639480
20260420_202239__d002,real_delivery,6.725330,0.503186,0.063185,0.842149
20260420_202239__d002,real_delivery,6.788184,0.826806,0.082890,1.288318
20260420_202239__d002,real_delivery,6.851037,0.978148,0.111823,1.436022
20260420_202239__d002,real_delivery,6.913891,0.408096,0.074146,0.881009
20260420_202239__d002,real_delivery,6.976744,0.577769,0.088129,1.274576
20260420_202239__d002,real_delivery,7.039598,0.861677,0.106947,1.618105
20260420_202239__d002,real_delivery,7.102451,0.804665,0.102515,1.635047
20260420_202239__d002,real_delivery,7.165305,0.458639,0.050250,0.892386
20260420_202239__d002,real_delivery,7.228158,0.700436,0.102756,1.833383
20260420_202239__d002,real_delivery,7.291012,0.701740,0.139386,2.305260
20260420_202239__d002,real_delivery,7.353865,0.724247,0.126249,1.414056
20260420_202239__d002,real_delivery,7.416719,0.482317,0.058309,0.826290
20260420_202239__d002,real_delivery,7.479573,0.813178,0.126007,1.815307
20260420_202239__d002,real_delivery,7.542426,0.425756,0.020995,0.710451
20260420_202239__d002,real_delivery,7.605280,0.622687,0.121373,1.355398
